routepin.schema	ff_formal_routepin/2
routepin.first.q_OBUF.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_D->CLBLL_LOGIC_OUTS11 INT_L_X30Y48/INT_L.NW6END3->>NN6BEG3 INT_L_X30Y54/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y60/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y66/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y72/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y78/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y84/INT_L.NN6END3->>NN6BEG3 INT_L_X30Y90/INT_L.NN6END3->>NL1BEG2 INT_L_X30Y91/INT_L.NL1END2->>EL1BEG1 INT_R_X19Y20/INT_R.LOGIC_OUTS11->>NE6BEG3 INT_R_X21Y24/INT_R.NE6END3->>NE6BEG3 INT_R_X23Y28/INT_R.NE6END3->>NE6BEG3 INT_R_X25Y32/INT_R.NE6END3->>NE6BEG3 INT_R_X27Y36/INT_R.NE6END3->>NE6BEG3 INT_R_X29Y40/INT_R.NE6END3->>NE6BEG3 INT_R_X31Y44/INT_R.NE6END3->>NE6BEG3 INT_R_X31Y91/INT_R.EL1END1->>IMUX34 RIOI3_X31Y91/RIOI3.IOI_IMUX34_0->IOI_OLOGIC1_D1 RIOI3_X31Y91/RIOI3.IOI_OLOGIC1_D1->>RIOI_OLOGIC1_OQ RIOI3_X31Y91/RIOI3.RIOI_OLOGIC1_OQ->>RIOI_O1
routepin.first.q_OBUF.driver	q_reduce2/O
routepin.first.q_OBUF.sinks	q_OBUF_inst/I
routepin.first.q_OBUF.status	ROUTED
routepin.first.q_OBUF.fixed	1
routepin.first.qr1.route	 { CLBLL_L_C  { CLBLL_LOGIC_OUTS10 IMUX37 CLBLL_L_D4 }  CLBLL_L_CMUX CLBLL_LOGIC_OUTS18  { IMUX41 CLBLL_L_D1 }  NL1BEG_N3  { FAN_ALT1 FAN_BOUNCE1 IMUX42 CLBLL_L_D6 }  IMUX46 CLBLL_L_D5 }  
routepin.first.qr1.pips	CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX37->CLBLL_L_D4 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX41->CLBLL_L_D1 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX42->CLBLL_L_D6 CLBLL_R_X19Y20/CLBLL_R.CLBLL_IMUX46->CLBLL_L_D5 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_C->>CLBLL_L_CMUX CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_C->CLBLL_LOGIC_OUTS10 CLBLL_R_X19Y20/CLBLL_R.CLBLL_L_CMUX->CLBLL_LOGIC_OUTS18 INT_R_X19Y20/INT_R.FAN_ALT1->>FAN_BOUNCE1 INT_R_X19Y20/INT_R.FAN_BOUNCE1->>IMUX42 INT_R_X19Y20/INT_R.LOGIC_OUTS10->>IMUX37 INT_R_X19Y20/INT_R.LOGIC_OUTS18->>IMUX41 INT_R_X19Y20/INT_R.LOGIC_OUTS18->>NL1BEG_N3 INT_R_X19Y20/INT_R.NL1BEG_N3->>FAN_ALT1 INT_R_X19Y20/INT_R.NL1BEG_N3->>IMUX46
routepin.first.qr1.driver	q_reduce1/O
routepin.first.qr1.sinks	q_reduce2/I0 q_reduce2/I3 q_reduce2/I4 q_reduce2/I5
routepin.first.qr1.status	ROUTED
routepin.first.qr1.fixed	1
