specimen_id	instance	variant	node_type	spec.bit	readback.tsv	checkpoint
SLICE_X14Y25_zrst_C5FF	SLICE_X14Y25	zrst_C5FF	implementation	042ac73c89be2f42d1663d50e4c2ba268b25dd234a6e2964900f642db34e3250	d687b9ad05c84291d40fde7f82283cb42b96b7d05e94d944cc4487b3f19e3e5e	148b8dfe09a83a4c327654328094d320fc159b79474d7c3757b8a74c6126eafd
SLICE_X14Y25_zrst_CFF	SLICE_X14Y25	zrst_CFF	implementation	8d8681451de119ce6febe980138a895eacba484c2f5ac9714e3b2a1771b4042b	0fa3a271dc1f51b168c6536b841baad42aaac0fc4e047f7bfbd65861b2774904	e7da349a8036901235be70643c01a8c5f0c8c215db1f1328b17c53dad827ecf6
SLICE_X14Y25_zrst_D5FF	SLICE_X14Y25	zrst_D5FF	implementation	4c32778660dfeb0d289cf53f81d5265359ea22b77d72e798a089defb7a0e461a	5be3e413e3b6ed329d999b9c0d0d5877c8798335556e89423ff1ca46cfe7a5c2	e249b8deec0467d736aa93afc0c3c0105be91968ca3cad62149c33491a3efb52
SLICE_X14Y25_zrst_DFF	SLICE_X14Y25	zrst_DFF	implementation	efd410b7862d5dbad5c4a36ec2c0aaf87e3b8b646e01dfe230a908264b30b79e	4178033aba9c224b8f1a12af4e391c3f0d899e41a0719ef496dc8c27b84e4c14	52f47a55c943590ecdfab3f876b442623b404d64804bcf9b267cedeab58403c0
SLICE_X15Y25_async	SLICE_X15Y25	async	implementation	6d20dd3fe85ec798f6e35bf7dea2d75368443634ab7507969daf8c391fe2d614	f1a15c5a273aec813c2912d70c9527d9adb5f291b0a367788969c06b633d816d	acbc23bb4f1132203db3f21d30560ed2ff556f3824bb93a98635964dfa766846
SLICE_X15Y25_base	SLICE_X15Y25	base	implementation	b8776b03a19f327fe6a79e1028228e670cbbefeda679024b84f12d2ce8f16591	0a8af746974115896484195a9560554bcd67408de412b8314cb375d57772b790	26f957c9c3549522859a18a0a0a530a8d66511db3130ce7ad559a080b99d0082
SLICE_X15Y25_ce_tied	SLICE_X15Y25	ce_tied	implementation	1c101723c89b978d0aa3351de453519884219ea7e2da5888adb27128db0e2e62	385e61066146166998ef2c451f5ecfca2fe80c55e43f0dfad734a0536fd6b7e0	7de8453da510075130e18ce6f110cf124f51b08c1bbbf732e96101937fb13bf3
SLICE_X15Y25_clkinv	SLICE_X15Y25	clkinv	implementation	96b57275289441b70559fb3a053b3d2ebb186da0731e8ec641791434c29111fa	d93af488871469da2440adb11c3dc806191b2d7288978438c49fccc649228546	04841e455d0366071b9041f03d5bc1c84b14aae10fae5db12b49cbd8a3527cec
SLICE_X15Y25_latch	SLICE_X15Y25	latch	implementation	fd83a215815822a5ec22df4609d220c1f66199f918abc79b81c45b0ce0280243	78656ac6a4c4a834a5e0bdb6b55b8e775e716aa2ead6893a7d269a65e31e0b88	7e072784d9287d91a63a77527fe6388f4ee70d03034a9f52212d342178f560fc
SLICE_X15Y25_latch_base	SLICE_X15Y25	latch_base	implementation	51c63808ace7512bbe2695d929619386ba91596822a452e42fddffd6ae4606a0	7cd3cfe30153fbc33b55e7fa0d0c0127acaab2ff1ce57b882c9b7406237319f5	6df6f4ecaa38476f50a0748e1f89f1fdf3d2a1e129f94bebbe376e68f9d7b8cd
SLICE_X15Y25_sr_tied	SLICE_X15Y25	sr_tied	implementation	26621c2d5a2c74478024142d4099875120d6e47b605df07d3770f6219b9ac1a3	0786998e75a5d782bfb3fa4155ad3eb992ded39481c87e32d82d6715bbc5a45a	3d977916a1fb5d090c69352934e806cd890e6089ba5d65a89b80baddfc3fb27b
SLICE_X15Y25_zini_A5FF	SLICE_X15Y25	zini_A5FF	derived	d03505ab13ca74cb188c01148d45a80ef9df243145f7fc5d6281f5be3ef352f7	b67a25a73bd6bf1adb4e3be1f33130eae508169305442550fd5a2c37362b09a5	983742f3aebea97be86c41f91a8b930d8a09c03438491b9e45fdc7642b0a60ba
SLICE_X15Y25_zini_AFF	SLICE_X15Y25	zini_AFF	derived	04e43462ca8f331d22566e7510c3e5a3a17592b66dca6e12d7937f7e55f6a938	df40e2b93e3b0d802f4f241e182817c7dbcead9b9d186ce803bbe4d7db517233	d4e85cc12dfb7a480bf44bd5f6bb1bb31f96100f596f1ebb90e581f0f137e966
SLICE_X15Y25_zini_B5FF	SLICE_X15Y25	zini_B5FF	derived	9d2168e2f58cb346e5bcbb0bb54d3c26af12c6ecbbe51cde564b65b9d591c726	c8f9ca9ff301fab8dbed9c29119345118f9ce897774b36ef6f7a8f93d9881286	cdaafc3d161db74759f9821bad405aec09e6f926300e4d43897f36d59551ba27
SLICE_X15Y25_zini_BFF	SLICE_X15Y25	zini_BFF	derived	46cd6801d6a2b8ff45cef9b10a0c49505973bc9b3935e0868874f82ac6223c1a	0633585f69a097b4622099ce2e16dce892f2c5111d2494eb2712b1d23d965250	e1a13039ad9514aa1a1c9636a809cb626f4a8f63e82300e36a4846dd922b571f
SLICE_X15Y25_zini_C5FF	SLICE_X15Y25	zini_C5FF	derived	34574ad0a35953d5c7bd8ff027251e31ff64e993c831d655203df1603c991e54	2ef8b69331a011d17e2c24c54a0981c8bceaee45a828f942b1c62dcd75fb2465	568a58e299c77aa674e96bbe864fd16506592a64f9870b5bba3fb7c969b65847
SLICE_X15Y25_zini_CFF	SLICE_X15Y25	zini_CFF	derived	3f1f950e996bbe5e68dd527c637df9a031487af9f780eb60ffa13b3f574c9e75	c8bc4129b74d5b4d98728eefc4decea26775273df0958594ab0e78f983bba636	451ea2f61e397dda37d09c435d81ad0d9a878b9857944ab8c3d02183b1493e25
